district,date,tmax_c,tmin_c,rain_mm,humidity_morning,humidity_evening,humidity_avg
Baksa,01-01-2014,33.80017318,24.96829724,0.2,86.76679716,63.22737942,80.53450714
Baksa,01-02-2014,38.17364142,24.41639384,1,89.58218474,68.70326884,83.42506821
Baksa,01-03-2014,31.93485168,24.14643443,0,94.83343638,71.16913102,77.08581168
Baksa,01-04-2014,39.82855905,24.92243971,0.2,96.88082137,68.25551949,67.94078421
Baksa,01-05-2014,33.36600837,26.64538513,0.2,97.91593719,61.22485117,75.12659037
Baksa,01-06-2014,35.84381015,25.24472854,0.5,96.04097114,62.83677896,89.62876412
Baksa,01-07-2014,38.07704117,25.23012499,1,89.2883054,56.25443451,77.12490334
Baksa,01-08-2014,42.64095457,20.19866623,0.2,79.50516475,61.53243775,77.89097722
Baksa,01-09-2014,36.12828276,24.65832999,1,105.48516,70.42112478,71.82224286
Baksa,01-10-2014,40.88964074,26.04841875,0,84.33508755,68.93240846,77.45063021
Baksa,01-11-2014,38.85567281,21.79478106,0.2,94.83131231,67.30112139,70.46847537
Baksa,01-12-2014,35.76228037,25.87070467,0,80.03570244,67.52356211,78.86692952
Baksa,13-01-2014,36.9757323,23.35013199,0.2,80.92822187,68.36592409,72.01157733
Baksa,14-01-2014,38.30418287,26.25727686,0,86.27460441,70.34255318,82.19418986
Baksa,15-01-2014,39.6974645,24.60814752,0,85.14545418,62.12526473,76.54831963
Baksa,16-01-2014,37.81848178,22.68841895,0,99.45547111,68.52371819,79.56541227
Baksa,17-01-2014,36.92357367,23.14495891,1,83.50368975,65.26046518,77.45350403
Baksa,18-01-2014,35.4299355,27.12454874,1,84.12149862,64.75224138,81.42843986
Baksa,19-01-2014,35.11104497,26.0563038,0.5,85.50940106,64.88782361,84.45370763
Baksa,20-01-2014,35.21984606,23.0904181,1,85.67257511,67.86033214,74.53672887
Baksa,21-01-2014,37.00011199,27.37928142,0,87.63931585,76.97464471,85.02219299
Baksa,22-01-2014,33.06034337,23.79354631,0,89.39837281,69.16272719,80.17065865
Baksa,23-01-2014,38.55232714,22.88083231,0,83.48450942,60.82934911,82.57839333
Baksa,24-01-2014,34.3938554,25.98949355,0,86.53560631,70.37696826,76.89599425
Baksa,25-01-2014,29.75360027,26.08784682,0,91.78901885,70.56705753,75.86317594
